"","spp1","spp2","overlap_mean_sp1to2","overlap_mean_sp2to1"
"91","Palicourea_didymocarpos","Palicourea_justiciifolia",79.7615,91.3911
"92","Palicourea_rhodothamna","Palicourea_justiciifolia",89.4204,31.0591
"93","Palicourea_triphylla","Palicourea_justiciifolia",83.1016,90.325
"94","Palicourea_croceoides","Palicourea_justiciifolia",96.4158,76.7433
"95","Palicourea_crocea","Palicourea_justiciifolia",96.3537,69.5935
"96","Palicourea_lasiantha","Palicourea_justiciifolia",72.9426,80.8382
"97","Palicourea_nitidella","Palicourea_justiciifolia",88.269,52.8363
"98","Palicourea_macrobotrys","Palicourea_justiciifolia",52.04,94.2454
"99","Palicourea_guianensis","Palicourea_justiciifolia",90.2211,71.6909
"100","Palicourea_marcgravii","Palicourea_justiciifolia",63.5268,69.2708
"101","Palicourea_grandiflora","Palicourea_justiciifolia",77.324,85.5772
"102","Palicourea_rigida","Palicourea_justiciifolia",61.1073,79.1067
"103","Palicourea_egensis","Palicourea_justiciifolia",29.2581,98.3669
"104","Palicourea_polycephala","Palicourea_justiciifolia",99.8307,32.7283
"105","Palicourea_deflexa","Palicourea_justiciifolia",94.0068,79.3084
"106","Palicourea_woronovii","Palicourea_justiciifolia",94.1242,26.3401
"107","Palicourea_bangii","Palicourea_justiciifolia",35.2897,9.2735
"108","Palicourea_flavifolia","Palicourea_justiciifolia",54.1352,15.2952
"109","Palicourea_reticulata","Palicourea_justiciifolia",6.4182,62.4722
"110","Palicourea_stipularis","Palicourea_justiciifolia",6.8975,82.7315
"111","Palicourea_flavescens","Palicourea_justiciifolia",10.3308,1.7386
"112","Palicourea_stenosepala","Palicourea_justiciifolia",6.4442,34.9083
"113","Palicourea_lineata","Palicourea_justiciifolia",4.8274,76.0702
"114","Palicourea_padifolia","Palicourea_justiciifolia",8.6382,25.5558
"115","Palicourea_lehmannii","Palicourea_justiciifolia",50.1941,3.8484
"116","Palicourea_thyrsiflora","Palicourea_justiciifolia",10.473,89.5501
"117","Palicourea_demissa","Palicourea_justiciifolia",73.9135,7.8823
