,spp1,spp2
503,Palicourea_conephoroides,Palicourea_dichotoma
504,Palicourea_tinctoria,Palicourea_dichotoma
505,Palicourea_jelskii,Palicourea_dichotoma
506,Palicourea_allenii,Palicourea_dichotoma
507,Palicourea_cyanococca,Palicourea_dichotoma
508,Palicourea_hazenii,Palicourea_dichotoma
509,Palicourea_tomentosa,Palicourea_dichotoma
510,Psychotria_rosea,Palicourea_dichotoma
511,Psychotria_suterella,Palicourea_dichotoma
512,Palicourea_brachypoda,Palicourea_dichotoma
513,Palicourea_sessilis,Palicourea_dichotoma
514,Palicourea_divaricata,Palicourea_dichotoma
515,Palicourea_racemosa,Palicourea_dichotoma
516,Palicourea_subfusca,Palicourea_dichotoma
517,Palicourea_topoensis,Palicourea_dichotoma
518,Palicourea_brevicollis,Palicourea_dichotoma
519,Palicourea_gracilenta,Palicourea_gracilenta
520,Palicourea_obliquinervia,Palicourea_gracilenta
521,Palicourea_prunifolia,Palicourea_gracilenta
522,Palicourea_callithrix,Palicourea_gracilenta
523,Palicourea_glabra,Palicourea_gracilenta
524,Palicourea_acuminata,Palicourea_gracilenta
525,Palicourea_andina,Palicourea_gracilenta
526,Palicourea_didymocarpos,Palicourea_gracilenta
527,Palicourea_rhodothamna,Palicourea_gracilenta
528,Palicourea_triphylla,Palicourea_gracilenta
529,Palicourea_croceoides,Palicourea_gracilenta
530,Palicourea_crocea,Palicourea_gracilenta
531,Palicourea_lasiantha,Palicourea_gracilenta
532,Palicourea_nitidella,Palicourea_gracilenta
533,Palicourea_macrobotrys,Palicourea_gracilenta
534,Palicourea_guianensis,Palicourea_gracilenta
535,Palicourea_marcgravii,Palicourea_gracilenta
536,Palicourea_grandiflora,Palicourea_gracilenta
537,Palicourea_rigida,Palicourea_gracilenta
538,Palicourea_egensis,Palicourea_gracilenta
539,Palicourea_polycephala,Palicourea_gracilenta
540,Palicourea_deflexa,Palicourea_gracilenta
541,Palicourea_woronovii,Palicourea_gracilenta
542,Palicourea_bangii,Palicourea_gracilenta
543,Palicourea_flavifolia,Palicourea_gracilenta
544,Palicourea_reticulata,Palicourea_gracilenta
545,Palicourea_stipularis,Palicourea_gracilenta
546,Palicourea_flavescens,Palicourea_gracilenta
547,Palicourea_stenosepala,Palicourea_gracilenta
